"link","status","locationOfLink"
"https://api.shopstyle.com/action/apiVisitRetailer",400,"https://laurenslatest.com/shop/"
"http://worldpress",999,"https://laurenslatest.com/this-week-at-the-brennans-120/"
"http://facebook",999,"https://laurenslatest.com/this-week-at-the-brennans-120/"
"http://gmail.com",999,"https://laurenslatest.com/this-week-at-the-brennans-118/"
"http://Worldpress",999,"https://laurenslatest.com/this-week-at-the-brennans-117/"
"http://laurens%20latestt",999,"https://laurenslatest.com/nyc-tourist-travel-guide/"
"http://www.kandradventures.com",999,"https://laurenslatest.com/nyc-tourist-travel-guide/"
"https://marginmakimgmom.com",999,"https://laurenslatest.com/nyc-tourist-travel-guide/"
"https://www.mexicue.com/",400,"https://laurenslatest.com/nyc-tourist-travel-guide/"
"http://Facebook",999,"https://laurenslatest.com/disney-cruise-and-the-bahamas/"
"http://www.dreamersdotravels.com",999,"https://laurenslatest.com/disney-cruise-and-the-bahamas/"
"https://www.cornerbakeryamsterdam.com/oud-zuid-johannes-vermeerstraat",400,"https://laurenslatest.com/amsterdam/"
"http://www.bevcooks.com",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://theavidappetite.com",400,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://www.pinchofyum.com",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://barbarabakes.com/",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://www.confessionsofapickyeater.com",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://keepitsweetblog.com",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://warmvanillasugar.wordpress.com/",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://kandktestkitchen.blogspot.com",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://www.shugarysweets.com",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://my2crazycurls.com",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://www.simplyscratch.com",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://www.twovrooms.blogspot.com",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://www.thepeeryhouse.wordpress.com",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://www.facebook.com/thefrenchiefoodie",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://pantrychef.wordpress.com",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://pantrychef.wordpress.com/recipes/pizza-recipes/",999,"https://laurenslatest.com/fail-proof-pizza-dough-and-cheesy-garlic-bread-sticks-just-like-in-restaurants/"
"http://lindabgoodman@gmail.com",999,"https://laurenslatest.com/morning-glory-muffins/"
